dataset,case_type,label_hallucinated,query_response_jaccard,source_response_support,truth_proxy,H,Theta
general,non_hallucinated,0,0.03125,0.03125,1.0,0.25181931674648206,1.0
general,hallucinated,1,0.0273972602739726,0.0273972602739726,0.0,2.0286893598764384,0.5
general,hallucinated,1,0.09090909090909091,0.09090909090909091,0.0,2.095163831647484,0.5
general,hallucinated,1,0.1388888888888889,0.1388888888888889,0.0,2.1453159414452205,0.5
general,hallucinated,1,0.15151515151515152,0.15151515151515152,0.0,2.158499913713577,0.5
general,non_hallucinated,0,0.13924050632911392,0.13924050632911392,1.0,0.19970875622855835,1.0
general,hallucinated,1,0.02,0.02,0.0,2.020943568232492,0.5
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,hallucinated,1,0.19298245614035087,0.19298245614035087,0.0,2.2017470342405363,0.5
general,non_hallucinated,0,0.05263157894736842,0.05263157894736842,1.0,0.24105249758702166,1.0
general,non_hallucinated,0,0.17073170731707318,0.17073170731707318,1.0,0.1855894891921757,1.0
general,hallucinated,1,0.1506849315068493,0.1506849315068493,0.0,2.157633228877177,0.5
general,hallucinated,1,0.2962962962962963,0.2962962962962963,0.0,2.3090375856156813,0.5
general,non_hallucinated,0,0.1527777777777778,0.1527777777777778,1.0,0.1935790350516311,1.0
general,hallucinated,1,0.20588235294117646,0.20588235294117646,0.0,2.215182165805623,0.5
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,hallucinated,1,0.0410958904109589,0.0410958904109589,0.0,2.043032194872444,0.5
general,hallucinated,1,0.18181818181818182,0.18181818181818182,0.0,2.1901120866083654,0.5
general,hallucinated,1,0.0410958904109589,0.0410958904109589,0.0,2.043032194872444,0.5
general,hallucinated,1,0.04918032786885246,0.04918032786885246,0.0,2.051495827309977,0.5
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,hallucinated,1,0.02702702702702703,0.02702702702702703,0.0,2.028301691881524,0.5
general,hallucinated,1,0.13513513513513514,0.13513513513513514,0.0,2.1413951313039883,0.5
general,hallucinated,1,0.16666666666666666,0.16666666666666666,0.0,2.1743114854953167,0.5
general,hallucinated,1,0.04878048780487805,0.04878048780487805,0.0,2.0510772534651203,0.5
general,non_hallucinated,0,0.17333333333333334,0.17333333333333334,1.0,0.18444504293418248,1.0
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,hallucinated,1,0.039473684210526314,0.039473684210526314,0.0,2.041333802455109,0.5
general,non_hallucinated,0,0.275,0.275,1.0,0.1423808942561514,1.0
general,hallucinated,1,0.019230769230769232,0.019230769230769232,0.0,2.0201380741457524,0.5
general,hallucinated,1,0.175,0.175,0.0,2.1830032373268047,0.5
general,non_hallucinated,0,0.09433962264150944,0.09433962264150944,1.0,0.22068581801050502,1.0
general,non_hallucinated,0,0.047619047619047616,0.047619047619047616,1.0,0.24355685325954252,1.0
general,hallucinated,1,0.2631578947368421,0.2631578947368421,0.0,2.2747071156368155,0.5
general,hallucinated,1,0.13043478260869565,0.13043478260869565,0.0,2.136484826729342,0.5
general,non_hallucinated,0,0.16071428571428573,0.16071428571428573,1.0,0.1900275394730399,1.0
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,non_hallucinated,0,0.0,0.0,1.0,0.2679491924311223,1.0
general,hallucinated,1,0.17105263157894737,0.17105263157894737,0.0,2.178886515899439,0.5
general,non_hallucinated,0,0.25,0.25,1.0,0.15224093497742608,1.0
general,hallucinated,1,0.1076923076923077,0.1076923076923077,0.0,2.1127153679112745,0.5
general,non_hallucinated,0,0.039473684210526314,0.039473684210526314,1.0,0.24765222817851532,1.0
general,hallucinated,1,0.03571428571428571,0.03571428571428571,0.0,2.037397732861805,0.5
general,hallucinated,1,0.04054054054054054,0.04054054054054054,0.0,2.0424507666672485,0.5
general,hallucinated,1,0.05555555555555555,0.05555555555555555,0.0,2.0581694374862214,0.5
general,hallucinated,1,0.09523809523809523,0.09523809523809523,0.0,2.099691771321394,0.5
